#name,mu,dmu,z heliocentric,z cmb,error,ra,dec,survey,type,known error?
1997E,33.91080093,0.1726000011,0.01314199995,0.01291699987,0,101.8940582,74.49819946,CfA2,H,no
1997Y,34.26720047,0.1501999944,0.01625199988,0.01707899943,0,191.3830566,54.73717117,CfA2,H,no
1998dk,33.3728981,0.1852999926,0.01320100017,0.01182499994,0,3.631380081,-0.736100018,CfA2,H,no
1998dx,36.70339966,0.1174999997,0.05420700088,0.05386999995,0.0001066666667,272.7944946,49.85840988,CfA2,H,no
1998ec,34.83430099,0.1466999948,0.01987900026,0.01975899935,0,103.2717896,50.04328156,CfA2,H,no
1998ef,34.00310135,0.1518999934,0.0170189999,0.01573199965,0,15.86096001,32.2430191,CfA2,H,no
1998eg,35.17480087,0.1333000064,0.02484500036,0.02352800034,0,339.8739929,8.604260445,CfA2,H,no
1999cc,35.67250061,0.1191999987,0.03133000061,0.03141599894,0,240.6757507,37.35477066,CfA2,H,no
1999dq,33.54040146,0.172299996,0.01412400045,0.01242200006,0,38.49237823,20.97960091,CfA2,H,no
1999ef,36.34880066,0.1198000014,0.03909400105,0.03749199957,0,14.69301987,12.74203968,CfA2,H,no
1999ej,34.30130005,0.1649000049,0.0163850002,0.01471100003,0,20.73694038,33.46195984,CfA2,H,no
1999X,35.26900101,0.139200002,0.02504500002,0.02639799938,0,133.6322632,36.51473999,CfA2,H,no
2000B,34.3844986,0.1456999928,0.02019499987,0.02029000036,0,106.4166412,50.58879089,CfA2,H,no
2000cf,36.17269897,0.1145000011,0.03642800078,0.03692600131,0.00006666666667,238.2482758,65.93782043,CfA2,H,no
2000cn,35.02550125,0.1327999979,0.02349499986,0.02336500026,0,269.4253845,27.82571983,CfA2,H,no
2000dk,34.23749924,0.152700007,0.01700899936,0.01573299989,0,16.84458923,32.41107178,CfA2,H,no
2000fa,34.88990021,0.132100001,0.02128200047,0.02247400023,0,108.8774796,23.42643929,CfA2,H,no
6,40.3832016,0.1404000074,0.2308789939,0.2304150015,0.01,53.36645126,-28.3715229,PS1,S,no
11,41.87080002,0.1333999932,0.3800390065,0.381637007,0.001,149.9759216,2.411900043,PS1,H,no
34,40.44120026,0.1172000021,0.2542110085,0.2531979978,0.01,36.06643677,-3.186536074,PS1,S,no
91,39.27870178,0.1159000024,0.1520189941,0.1526879966,0.01,129.3289032,44.3337326,PS1,S,no
142,42.18610001,0.1405999959,0.4359889925,0.4367220104,0.01,162.3092499,58.46723175,PS1,S,no
